"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_016743855.1_ASM1674385v1_genomic.fna","GCF_016864255.1_ASM1686425v1_genomic.fna","GCF_017584065.1_ASM1758406v1_genomic.fna","GCF_017603725.1_ASM1760372v1_genomic.fna","GCF_017815655.1_ASM1781565v1_genomic.fna","GCF_017815675.1_ASM1781567v1_genomic.fna","GCF_017815695.1_ASM1781569v1_genomic.fna","GCF_017897965.1_ASM1789796v1_genomic.fna","GCF_017898005.1_ASM1789800v1_genomic.fna","GCF_017898025.1_ASM1789802v1_genomic.fna","GCF_018219285.1_ASM1821928v1_genomic.fna","GCF_018219325.1_ASM1821932v1_genomic.fna","GCF_018279145.1_ASM1827914v1_genomic.fna","GCF_018516845.1_ASM1851684v1_genomic.fna","GCF_018516925.1_ASM1851692v1_genomic.fna","GCF_018517045.1_ASM1851704v1_genomic.fna","GCF_018517065.1_ASM1851706v1_genomic.fna","GCF_018517085.1_ASM1851708v1_genomic.fna","GCF_018517105.1_ASM1851710v1_genomic.fna","GCF_018517185.1_ASM1851718v1_genomic.fna"
"group_1102","","hypothetical protein","20","20","1","1","2499","","","","638","1160","1133","GCF_016743855.1_ASM1674385v1_genomic.fna_00336","GCF_016864255.1_ASM1686425v1_genomic.fna_00379","GCF_017584065.1_ASM1758406v1_genomic.fna_00426","GCF_017603725.1_ASM1760372v1_genomic.fna_00354","GCF_017815655.1_ASM1781565v1_genomic.fna_00353","GCF_017815675.1_ASM1781567v1_genomic.fna_00365","GCF_017815695.1_ASM1781569v1_genomic.fna_00358","GCF_017897965.1_ASM1789796v1_genomic.fna_00371","GCF_017898005.1_ASM1789800v1_genomic.fna_00371","GCF_017898025.1_ASM1789802v1_genomic.fna_01633","GCF_018219285.1_ASM1821928v1_genomic.fna_00345","GCF_018219325.1_ASM1821932v1_genomic.fna_00394","GCF_018279145.1_ASM1827914v1_genomic.fna_00520","GCF_018516845.1_ASM1851684v1_genomic.fna_00417","GCF_018516925.1_ASM1851692v1_genomic.fna_00358","GCF_018517045.1_ASM1851704v1_genomic.fna_00348","GCF_018517065.1_ASM1851706v1_genomic.fna_00355","GCF_018517085.1_ASM1851708v1_genomic.fna_00339","GCF_018517105.1_ASM1851710v1_genomic.fna_00473","GCF_018517185.1_ASM1851718v1_genomic.fna_00378"
"gltC_1","","HTH-type transcriptional regulator GltC","20","20","1","1","3029","","","","881","881","881","GCF_016743855.1_ASM1674385v1_genomic.fna_00351","GCF_016864255.1_ASM1686425v1_genomic.fna_00394","GCF_017584065.1_ASM1758406v1_genomic.fna_00441","GCF_017603725.1_ASM1760372v1_genomic.fna_00369","GCF_017815655.1_ASM1781565v1_genomic.fna_00368","GCF_017815675.1_ASM1781567v1_genomic.fna_00380","GCF_017815695.1_ASM1781569v1_genomic.fna_00373","GCF_017897965.1_ASM1789796v1_genomic.fna_00386","GCF_017898005.1_ASM1789800v1_genomic.fna_00386","GCF_017898025.1_ASM1789802v1_genomic.fna_01648","GCF_018219285.1_ASM1821928v1_genomic.fna_00361","GCF_018219325.1_ASM1821932v1_genomic.fna_00409","GCF_018279145.1_ASM1827914v1_genomic.fna_00505","GCF_018516845.1_ASM1851684v1_genomic.fna_00432","GCF_018516925.1_ASM1851692v1_genomic.fna_00373","GCF_018517045.1_ASM1851704v1_genomic.fna_00363","GCF_018517065.1_ASM1851706v1_genomic.fna_00370","GCF_018517085.1_ASM1851708v1_genomic.fna_00354","GCF_018517105.1_ASM1851710v1_genomic.fna_00488","GCF_018517185.1_ASM1851718v1_genomic.fna_00393"
"treA","","Trehalose-6-phosphate hydrolase","20","20","1","1","2697","","","","974","1628","1595","GCF_016743855.1_ASM1674385v1_genomic.fna_00371","GCF_016864255.1_ASM1686425v1_genomic.fna_00413","GCF_017584065.1_ASM1758406v1_genomic.fna_00460","GCF_017603725.1_ASM1760372v1_genomic.fna_00389","GCF_017815655.1_ASM1781565v1_genomic.fna_00387","GCF_017815675.1_ASM1781567v1_genomic.fna_00399","GCF_017815695.1_ASM1781569v1_genomic.fna_00393","GCF_017897965.1_ASM1789796v1_genomic.fna_00406","GCF_017898005.1_ASM1789800v1_genomic.fna_00406","GCF_017898025.1_ASM1789802v1_genomic.fna_01667","GCF_018219285.1_ASM1821928v1_genomic.fna_00380","GCF_018219325.1_ASM1821932v1_genomic.fna_00428","GCF_018279145.1_ASM1827914v1_genomic.fna_00486","GCF_018516845.1_ASM1851684v1_genomic.fna_00451","GCF_018516925.1_ASM1851692v1_genomic.fna_00392","GCF_018517045.1_ASM1851704v1_genomic.fna_00382","GCF_018517065.1_ASM1851706v1_genomic.fna_00389","GCF_018517085.1_ASM1851708v1_genomic.fna_00373","GCF_018517105.1_ASM1851710v1_genomic.fna_00507","GCF_018517185.1_ASM1851718v1_genomic.fna_00412"
"ssaB","","Manganese ABC transporter substrate-binding lipoprotein","20","20","1","1","2972","","","","629","950","933","GCF_016743855.1_ASM1674385v1_genomic.fna_00416","GCF_016864255.1_ASM1686425v1_genomic.fna_00457","GCF_017584065.1_ASM1758406v1_genomic.fna_00506","GCF_017603725.1_ASM1760372v1_genomic.fna_00434","GCF_017815655.1_ASM1781565v1_genomic.fna_00434","GCF_017815675.1_ASM1781567v1_genomic.fna_00442","GCF_017815695.1_ASM1781569v1_genomic.fna_00439","GCF_017897965.1_ASM1789796v1_genomic.fna_00449","GCF_017898005.1_ASM1789800v1_genomic.fna_00449","GCF_017898025.1_ASM1789802v1_genomic.fna_01711","GCF_018219285.1_ASM1821928v1_genomic.fna_00427","GCF_018219325.1_ASM1821932v1_genomic.fna_00477","GCF_018279145.1_ASM1827914v1_genomic.fna_00443","GCF_018516845.1_ASM1851684v1_genomic.fna_00496","GCF_018516925.1_ASM1851692v1_genomic.fna_00438","GCF_018517045.1_ASM1851704v1_genomic.fna_00427","GCF_018517065.1_ASM1851706v1_genomic.fna_00432","GCF_018517085.1_ASM1851708v1_genomic.fna_00417","GCF_018517105.1_ASM1851710v1_genomic.fna_00551","GCF_018517185.1_ASM1851718v1_genomic.fna_00457"
"yedK","","Putative SOS response-associated peptidase YedK","20","20","1","1","2567","","","","347","575","472","GCF_016743855.1_ASM1674385v1_genomic.fna_00432","GCF_016864255.1_ASM1686425v1_genomic.fna_00472","GCF_017584065.1_ASM1758406v1_genomic.fna_00521","GCF_017603725.1_ASM1760372v1_genomic.fna_00449","GCF_017815655.1_ASM1781565v1_genomic.fna_00449","GCF_017815675.1_ASM1781567v1_genomic.fna_00457","GCF_017815695.1_ASM1781569v1_genomic.fna_00454","GCF_017897965.1_ASM1789796v1_genomic.fna_00464","GCF_017898005.1_ASM1789800v1_genomic.fna_00464","GCF_017898025.1_ASM1789802v1_genomic.fna_01727","GCF_018219285.1_ASM1821928v1_genomic.fna_00442","GCF_018219325.1_ASM1821932v1_genomic.fna_00492","GCF_018279145.1_ASM1827914v1_genomic.fna_00428","GCF_018516845.1_ASM1851684v1_genomic.fna_00511","GCF_018516925.1_ASM1851692v1_genomic.fna_00456","GCF_018517045.1_ASM1851704v1_genomic.fna_00443","GCF_018517065.1_ASM1851706v1_genomic.fna_00447","GCF_018517085.1_ASM1851708v1_genomic.fna_00432","GCF_018517105.1_ASM1851710v1_genomic.fna_00566","GCF_018517185.1_ASM1851718v1_genomic.fna_00472"
"arcD1_1","","Arginine/ornithine antiporter ArcD1","20","20","1","1","4192","","","","809","1421","1390","GCF_016743855.1_ASM1674385v1_genomic.fna_00459","GCF_016864255.1_ASM1686425v1_genomic.fna_00509","GCF_017584065.1_ASM1758406v1_genomic.fna_00556","GCF_017603725.1_ASM1760372v1_genomic.fna_00486","GCF_017815655.1_ASM1781565v1_genomic.fna_00486","GCF_017815675.1_ASM1781567v1_genomic.fna_00495","GCF_017815695.1_ASM1781569v1_genomic.fna_00491","GCF_017897965.1_ASM1789796v1_genomic.fna_00501","GCF_017898005.1_ASM1789800v1_genomic.fna_00501","GCF_017898025.1_ASM1789802v1_genomic.fna_01764","GCF_018219285.1_ASM1821928v1_genomic.fna_00470","GCF_018219325.1_ASM1821932v1_genomic.fna_00529","GCF_018279145.1_ASM1827914v1_genomic.fna_00393","GCF_018516845.1_ASM1851684v1_genomic.fna_00541","GCF_018516925.1_ASM1851692v1_genomic.fna_00493","GCF_018517045.1_ASM1851704v1_genomic.fna_00479","GCF_018517065.1_ASM1851706v1_genomic.fna_00471","GCF_018517085.1_ASM1851708v1_genomic.fna_00474","GCF_018517105.1_ASM1851710v1_genomic.fna_00603","GCF_018517185.1_ASM1851718v1_genomic.fna_00504"
"yjhB_1","","Putative metabolite transport protein YjhB","20","20","1","1","4195","","","","971","1292","1275","GCF_016743855.1_ASM1674385v1_genomic.fna_00461","GCF_016864255.1_ASM1686425v1_genomic.fna_00511","GCF_017584065.1_ASM1758406v1_genomic.fna_00558","GCF_017603725.1_ASM1760372v1_genomic.fna_00488","GCF_017815655.1_ASM1781565v1_genomic.fna_00488","GCF_017815675.1_ASM1781567v1_genomic.fna_00497","GCF_017815695.1_ASM1781569v1_genomic.fna_00493","GCF_017897965.1_ASM1789796v1_genomic.fna_00503","GCF_017898005.1_ASM1789800v1_genomic.fna_00503","GCF_017898025.1_ASM1789802v1_genomic.fna_01766","GCF_018219285.1_ASM1821928v1_genomic.fna_00472","GCF_018219325.1_ASM1821932v1_genomic.fna_00531","GCF_018279145.1_ASM1827914v1_genomic.fna_00391","GCF_018516845.1_ASM1851684v1_genomic.fna_00543","GCF_018516925.1_ASM1851692v1_genomic.fna_00495","GCF_018517045.1_ASM1851704v1_genomic.fna_00481","GCF_018517065.1_ASM1851706v1_genomic.fna_00473","GCF_018517085.1_ASM1851708v1_genomic.fna_00476","GCF_018517105.1_ASM1851710v1_genomic.fna_00605","GCF_018517185.1_ASM1851718v1_genomic.fna_00506"
"tetR_1","","hypothetical protein","20","20","1","1","4196","","","","560","560","560","GCF_016743855.1_ASM1674385v1_genomic.fna_00462","GCF_016864255.1_ASM1686425v1_genomic.fna_00512","GCF_017584065.1_ASM1758406v1_genomic.fna_00559","GCF_017603725.1_ASM1760372v1_genomic.fna_00489","GCF_017815655.1_ASM1781565v1_genomic.fna_00489","GCF_017815675.1_ASM1781567v1_genomic.fna_00498","GCF_017815695.1_ASM1781569v1_genomic.fna_00494","GCF_017897965.1_ASM1789796v1_genomic.fna_00504","GCF_017898005.1_ASM1789800v1_genomic.fna_00504","GCF_017898025.1_ASM1789802v1_genomic.fna_01767","GCF_018219285.1_ASM1821928v1_genomic.fna_00473","GCF_018219325.1_ASM1821932v1_genomic.fna_00532","GCF_018279145.1_ASM1827914v1_genomic.fna_00390","GCF_018516845.1_ASM1851684v1_genomic.fna_00545","GCF_018516925.1_ASM1851692v1_genomic.fna_00496","GCF_018517045.1_ASM1851704v1_genomic.fna_00482","GCF_018517065.1_ASM1851706v1_genomic.fna_00474","GCF_018517085.1_ASM1851708v1_genomic.fna_00477","GCF_018517105.1_ASM1851710v1_genomic.fna_00606","GCF_018517185.1_ASM1851718v1_genomic.fna_00507"
"fruA_1","","PTS system fructose-specific EIIB'BC component","20","20","1","1","4751","","","","488","1097","518","GCF_016743855.1_ASM1674385v1_genomic.fna_00531","GCF_016864255.1_ASM1686425v1_genomic.fna_00590","GCF_017584065.1_ASM1758406v1_genomic.fna_00625","GCF_017603725.1_ASM1760372v1_genomic.fna_00542","GCF_017815655.1_ASM1781565v1_genomic.fna_00543","GCF_017815675.1_ASM1781567v1_genomic.fna_00600","GCF_017815695.1_ASM1781569v1_genomic.fna_00545","GCF_017897965.1_ASM1789796v1_genomic.fna_00609","GCF_017898005.1_ASM1789800v1_genomic.fna_00609","GCF_017898025.1_ASM1789802v1_genomic.fna_01825","GCF_018219285.1_ASM1821928v1_genomic.fna_00579","GCF_018219325.1_ASM1821932v1_genomic.fna_00587","GCF_018279145.1_ASM1827914v1_genomic.fna_00348","GCF_018516845.1_ASM1851684v1_genomic.fna_00591","GCF_018516925.1_ASM1851692v1_genomic.fna_00551","GCF_018517045.1_ASM1851704v1_genomic.fna_00586","GCF_018517065.1_ASM1851706v1_genomic.fna_00532","GCF_018517085.1_ASM1851708v1_genomic.fna_00538","GCF_018517105.1_ASM1851710v1_genomic.fna_00674","GCF_018517185.1_ASM1851718v1_genomic.fna_00551"
"group_1130","","hypothetical protein","20","20","1","1","5851","","","","623","623","623","GCF_016743855.1_ASM1674385v1_genomic.fna_00540","GCF_016864255.1_ASM1686425v1_genomic.fna_00600","GCF_017584065.1_ASM1758406v1_genomic.fna_00634","GCF_017603725.1_ASM1760372v1_genomic.fna_00553","GCF_017815655.1_ASM1781565v1_genomic.fna_00554","GCF_017815675.1_ASM1781567v1_genomic.fna_00611","GCF_017815695.1_ASM1781569v1_genomic.fna_00557","GCF_017897965.1_ASM1789796v1_genomic.fna_00620","GCF_017898005.1_ASM1789800v1_genomic.fna_00620","GCF_017898025.1_ASM1789802v1_genomic.fna_01836","GCF_018219285.1_ASM1821928v1_genomic.fna_00588","GCF_018219325.1_ASM1821932v1_genomic.fna_00597","GCF_018279145.1_ASM1827914v1_genomic.fna_00339","GCF_018516845.1_ASM1851684v1_genomic.fna_00600","GCF_018516925.1_ASM1851692v1_genomic.fna_00562","GCF_018517045.1_ASM1851704v1_genomic.fna_00597","GCF_018517065.1_ASM1851706v1_genomic.fna_00541","GCF_018517085.1_ASM1851708v1_genomic.fna_00549","GCF_018517105.1_ASM1851710v1_genomic.fna_00683","GCF_018517185.1_ASM1851718v1_genomic.fna_00560"
